Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Language of Original Document,Document Type,Source,EID
"McCabe M.F., Rodell M., Alsdorf D.E., Miralles D.G., Uijlenhoet R., Wagner W., Lucieer A., Houborg R., Verhoest N.E.C., Franz T.E., Shi J., Gao H., Wood E.F.","The future of Earth observation in hydrology",2017,"Hydrology and Earth System Sciences","21","7",,"3879","3914",,5,10.5194/hess-21-3879-2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019592216&doi=10.5194%2fhess-21-3879-2017&partnerID=40&md5=a397a6d626e3ef432b06bba138890fa0","In just the past 5 years, the field of Earth observation has progressed beyond the offerings of conventional space-agency-based platforms to include a plethora of sensing opportunities afforded by CubeSats, unmanned aerial vehicles (UAVs), and smartphone technologies that are being embraced by both for-profit companies and individual researchers. Over the previous decades, space agency efforts have brought forth well-known and immensely useful satellites such as the Landsat series and the Gravity Research and Climate Experiment (GRACE) system, with costs typically of the order of 1 billion dollars per satellite and with concept-to-launch timelines of the order of 2 decades (for new missions). More recently, the proliferation of smartphones has helped to miniaturize sensors and energy requirements, facilitating advances in the use of CubeSats that can be launched by the dozens, while providing ultra-high (3- 5 m) resolution sensing of the Earth on a daily basis. Startup companies that did not exist a decade ago now operate more satellites in orbit than any space agency, and at costs that are a mere fraction of traditional satellite missions. With these advances come new space-borne measurements, such as real-time high-definition video for tracking air pollution, storm-cell development, flood propagation, precipitation monitoring, or even for constructing digital surfaces using structure-from-motion techniques. Closer to the surface, measurements from small unmanned drones and tethered balloons have mapped snow depths, floods, and estimated evaporation at sub-metre resolutions, pushing back on spatio-temporal constraints and delivering new process insights. At ground level, precipitation has been measured using signal attenuation between antennae mounted on cell phone towers, while the proliferation of mobile devices has enabled citizen scientists to catalogue photos of environmental conditions, estimate daily average temperatures from battery state, and sense other hydrologically important variables such as channel depths using commercially available wireless devices. Global internet access is being pursued via highaltitude balloons, solar planes, and hundreds of planned satellite launches, providing a means to exploit the ""internet of things"" as an entirely new measurement domain. Such global access will enable real-time collection of data from billions of smartphones or from remote research platforms. This future will produce petabytes of data that can only be accessed via cloud storage and will require new analytical approaches to interpret. The extent to which today's hydrologic models can usefully ingest such massive data volumes is unclear. Nor is it clear whether this deluge of data will be usefully exploited, either because the measurements are superfluous, inconsistent, not accurate enough, or simply because we lack the capacity to process and analyse them. What is apparent is that the tools and techniques afforded by this array of novel and game-changing sensing platforms present our community with a unique opportunity to develop new insights that advance fundamental aspects of the hydrological sciences. To accomplish this will require more than just an application of the technology: in some cases, it will demand a radical rethink on how we utilize and exploit these new observing systems. © Author(s) 2017.",,"English",Article,Scopus,2-s2.0-85019592216
"Kozina Z., Prusik K., Görner K., Sobko I., Repko O., Bazilyuk T., Kostiukevych V., Goncharenko V., Galan Y., Goncharenko O., Korol S., Korol S.","Comparative characteristics of psychophysiological indicators in the representatives of cyclic and game sports",2017,"Journal of Physical Education and Sport","17","2", 97,"648","655",,1,10.7752/jpes.2017.02097,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021713697&doi=10.7752%2fjpes.2017.02097&partnerID=40&md5=0d399f82942fcea92d2d3097ed6831ed","The aim of the work is to determine the characteristics of the speed of reaction in representatives of cyclic sports (swimmers) in comparison with representatives of game sports (basketball players) and to reveal the differences in the speed of simple and complex reactions in swimmers and basketball players of different qualifications. Material and methods. In this study, methods were used to determine the psychophysiological abilities of athletes in terms of time indicators of a simple and complex reaction. Tests were conducted on the computer program ""Psychodiagnostics"". The following measurements were made: measurement of the simple reaction rate of the light stimulus; measurement of the simple reaction rate to the sound stimulus; the measurement of the complex reaction of choosing one of three objects; the measurement of the complex reaction of selecting two objects from three; in response to the appearance on the monitor screen of the animal's image should be as soon as possible to press and release the right mouse button. In the study to determine the differences between the reaction rate indicators, swimmers and basketball players were attended by 22 qualified swimmers and 24 qualified basketball players. In determining the comparative evaluation of the indicators of psycho-physiological functions of swimmers of different qualifications, 6 masters of sports and masters of sports of international class in swimming and 10 athletes of the 1st category and candidates for master of sports were used. In determining the comparative evaluation of the indicators of psycho-physiological functions of basketball players of various qualifications, 11 sports masters (athletes of international level) in basketball and 12 athletes of the 1st category and candidates for the master of sports (athletes of regional level) were tested. Results. On the indicators of psycho-physiological testing revealed significant differences between basketball players and swimmers. Qualified basketball players have significantly less time for a simple reaction to a light stimulus, for a sound stimulus, the response time for selecting one element out of three, and the response time for selecting two elements out of three. In swimmers, the time of simple reaction to the light stimulus and the reaction time to the auditory stimulus decrease as the skill level increases. The time of a complex selection reaction is not significantly different in swimmers of different qualifications. This testifies to the importance of psychophysiological abilities not only for representatives of game sports, but also for cyclical ones, for example, for swimming. Basketball players of higher qualification (masters of sports) significantly less time of both simple and complex reactions in comparison with basketball players of the 1st category and candidates for the master of sports. Conclusions. It has been revealed that, in almost all indicators of psychophysiological functions, basketball players are significantly different from swimmers in fins. With the improvement of the swimmers' skills, the time of simple reactions decreases. Basketball players with higher qualifications have less time for simple and complex reactions. © JPES.",,"English",Article,Scopus,2-s2.0-85021713697
"Friesen M.R., Leduc-McNiven K., Ferens K., Jeffrey I., McLeod R.D.","Exploring emergence in simple agent-based models",2017,"Advances in Engineering Research","17",,,"93","115",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019596129&partnerID=40&md5=3b8b6eeacb503fb79083d8ea135fa8df","This work examines the concept of emergence in agent-based modelling and simulation by modelling several types of agent-based systems and examining simulations for potential emergent phenomena. Emergent phenomena are considered as either emergent behaviour or emergent strategy. Initially, the Netlogo platform is used to develop a rudimentary agent-based model upon which incremental and systematic changes in agent behaviour rules are imposed to examine the points at which emergent behaviour may be detected. Emergent behaviour is defined as agent- and/or group-level phenomena that are not specifically encoded by the modeller. While emergence may be a behavioural whole of the system that is greater than the sum of its parts, it may manifest at large or small scales, may be a complex or a simple phenomenon, and may be counterintuitive or not. Emergent behaviour begins when the outcomes of a simulation cannot be expressly tied back to the encoded individual agent behavioural rules and profiles. In the second part of this work, an in-house platform is used to explore emergent strategy. Emergent strategy is the view that strategy emerges over time as agents' intentions collide with and accommodate a changing reality. Emergent strategy is a set of actions consistent over time, or a realized pattern which was not expressly intended in the original planning of strategy, i.e., a form of learning that emergences from practice. © 2017 Nova Science Publishers, Inc.",,"English",Book Chapter,Scopus,2-s2.0-85019596129
"Morales N., Bergstrom M.","Did the Super Bowl Kill the Internet?",2017,"IEEE Access","5",, 7933951,"9812","9822",,,10.1109/ACCESS.2017.2703980,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028441635&doi=10.1109%2fACCESS.2017.2703980&partnerID=40&md5=55babfaad45adabb008b58ae2ea5ff96","Given the rapid increase in Internet streaming services to access multimedia content, to the detriment of traditional cable, satellite, and terrestrial, it is to be expected that this traffic will affect the performance of the Internet at several levels. One such level is the communication between autonomous systems that is primarily based on border gateway protocol (BGP). In order to understand this impact, a tool was developed to detect the problems that occur during a specific time period. This tool is able to identify and classify flapping events providing information about the networks potentially involved in the disruptions. The main focus of this paper is the analysis of the BGP updates registered during Super Bowl 2016 in order to understand how a large streaming event affects the Internet at the BGP level. Those results show that an increase in the number of updates happened during key times when a large number of concurrent viewers connected to the game. Many dampening and flapping events were observed accordingly. From those events, networks potentially affected were detected and categorized. The results of our study suggest that the Internet is not prepared to accommodate the potential streaming traffic generated during major events. This is of utmost importance for content providers and content delivery networks in designing their broadcast strategies which should take into consideration not only the scalability of their own servers but also the way in which data reaches the viewer. © 2013 IEEE.",,"English",Article,Scopus,2-s2.0-85028441635
"Chen S.-J., Kang Y.-Y., Lin C.-L.","Ergonomic evaluation of video game playing",2016,"Journal of Ambient Intelligence and Humanized Computing","7","6",,"845","853",,,10.1007/s12652-016-0386-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991387199&doi=10.1007%2fs12652-016-0386-z&partnerID=40&md5=e31dfeccfd30bfbe301dfcaac72675e3","This study investigated the effect of display type, play-rest schedule and game type on visual fatigue, heart rate and mental workload for both genders during 1 h of Wii game playing. Twenty subjects participated in the experiment. Two display types (a 32-in CRT display and a 32-in plasma display), two different play-rest schedules (10 min play with 5 min rest, repeated four times; 20 min play with 10 min rest, repeated two times) and two Nintendo “Wii Sports” games (boxing and tennis) were used for evaluation. The study results showed that the display and game type had a significant effect on all the measurements. The use of a plasma display to play video games improved the critical flicker fusion (CFF) frequency threshold; however, it also caused a greater subjective eye-fatigue rating, increased heart rate, as well as higher mental workload. Subjects with a 5-min break for every 10 min played had a lower subjective eye-fatigue rating, heart rate and mental workload than with a 10-min break for every 20 min played. The gender effect was not significant on any of the measurements. Implications of the results regarding video-game playing are discussed in terms of display and game type. Playing video games with frequent short breaks is suggested for reducing visual fatigue, especially for intensive video games. © 2016, Springer-Verlag Berlin Heidelberg.",,"English",Article,Scopus,2-s2.0-84991387199
"Benzing V., Heinks T., Eggenberger N., Schmidt M.","Acute cognitively engaging exergame-based physical activity enhances executive functions in adolescents",2016,"PLoS ONE","11","12", e0167501,"","",,2,10.1371/journal.pone.0167501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007281758&doi=10.1371%2fjournal.pone.0167501&partnerID=40&md5=f6a7cffe2e61307a6ae4d84d2d57a454","The study aimed to elucidate the influence of cognitive engagement comprised in an acute bout of exergame-based physical activity on executive functions (inhibition, cognitive flexibility) in adolescents. Therefore, the level of cognitive engagement and the intensity of physical activity were systematically varied across three experimental conditions. Sixty-five healthy male adolescents (13-16 years) were randomly assigned to one of three conditions: (a) physical activity with high levels of cognitive engagement during active video gaming, (b) physical activity with low levels of cognitive engagement during active video gaming, (c) sedentary with low levels of cognitive engagement during passive video watching. Manipulation checks, including subjective and objective operationalizations of cognitive engagement, were applied. Executive functions were assessed before and after each condition using the D-KEFS design fluency test. Results showed that cognitive engagement, operationalized by subjects' ratings and heart rate variability, differed between conditions. The physical activity condition with a high level of cognitive engagement resulted in significantly better performance in cognitive flexibility compared to conditions with low levels of cognitive engagement. Regarding benefits for executive functions in male adolescents, the results indicate that acute physical activity with high cognitive engagement could be more efficient than physical activity of the same intensity with low cognitive engagement. Even though further evidence is needed, these results extend previous research and suggest a methodological approach for measuring cognitive engagement. © 2016 Benzing et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",28030542,"English",Article,Scopus,2-s2.0-85007281758
"Corvino M., Vuleta D., Šibila M.","Analysis of load and players’ effort in 4vs4 small-sided handball games in relation to court dimensions",2016,"Kinesiology","48","2",,"213","222",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007492931&partnerID=40&md5=afc0ff77a8d81728909306cdc9bbf2ab","The aim of the present study was to analyse load to which players were exposed and effort they invested in 4vs4 small-sided handball games in relation to various court dimensions. Eight male amateur handball players participated in three eight-minute 4vs4 (plus goalkeepers) small-sided handball games. The three court dimensions were 12×24 m, 30×15 m and 32×16 m. Using Global Positioning System devices (SPI pro elite 15Hz, GPSports), time-motion video analysis, and Borg’s scale for rating of perceived exertion (RPE), the following performance, physiological and psychological parameters were recorded: cyclic movements for distance covered, acyclic movements for the number of technical actions executed, heart rate, and RPE. The total distance travelled increased with the increase in court size (948.1±64.5, 1087.2±92.0 and 1079.8±90.6 on the 24×12 m, 30×15 m and 32×16 m court, respectively; p<.05). The distance covered by the players in four speed zones revealed a substantial difference between the games played on the 24×12 and 30×15m courts in the first and third (p<.05; moderate ES) speed zone. On the 24×12 m court the players covered more distance while moving in the first speed zone, but less distance when moving in the third speed zone (p<.05; moderate ES). On the 30×15 m court the players covered less distance while moving in the first speed zone, but they covered more distance by moving in the third speed zone (p<.05; moderate ES). There were no substantial differences found for the second and fourth speed zone cyclic movements and distances covered on all the three experimental court sizes. No statistical differences between the games played on various court dimensions were found in acyclic movements. No statistical differences were found in the analysis of heart rate either. Further analysis of players’ self-evaluated effort confirmed the trend of heart rate values, showing no statistical differences in the RPE values among the three different court dimensions. Our findings indicate that changing court dimensions during 4vs4 small-sided handball games could influence load imposed on players and their exertion. © 2016, University of Zagreb-Faculty of Kinesiology. All rights reserved.",,"English",Article,Scopus,2-s2.0-85007492931
"Mackintosh K.A., Standage M., Staiano A.E., Lester L., McNarry M.A.","Investigating the Physiological and Psychosocial Responses of Single- and Dual-Player Exergaming in Young Adults",2016,"Games for Health Journal","5","6",,"375","381",,,10.1089/g4h.2016.0015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006355727&doi=10.1089%2fg4h.2016.0015&partnerID=40&md5=12105a5bc7c03ae5893b124795f1e336","Objective: This study investigated the effect of acute exergaming on the physiological and psychosocial responses of young adults and the modulatory effect of a single- or dual-player game play situation. Materials and Methods: Thirty-six participants (19 male; 21.7 ± 3.8 years; 23.65 ± 3.17 kg/m2) each completed two 30-minute exergame sessions in a randomized order (single and dual player) while wearing an Actiheart® to estimate energy expenditure. Positive and negative affect, subjective vitality, and indices of intrinsic motivation were assessed directly after each gaming bout. Results: There was no significant difference in energy expenditure or psychosocial outcomes between conditions. Although males expended more energy than females in both single- (z = -2.124, P = 0.033) and dual-player situations (z = -2.679, P = 0.007), females reported significantly greater vitality (z = -2.219, P = 0.026) and effort/importance than males (z = -2.001, P = 0.045). Conversely, males reported a greater negative affect (z = -2.872, P = 0.004) and pressure/tension (z = -3.295, P = 0.001). A linear mixed effects model revealed that energy expenditure during exergaming was a significant predictor of interest and enjoyment (P = 0.001) and effort and importance (P = 0.001). This relationship between energy expenditure and psychosocial variables was not modulated by sex or order of gameplay (single or dual player first). Conclusion: The present results suggest that females have a more positive psychosocial response to exergaming relative to males, highlighting exergames such as Wii™ boxing as a potential avenue for future interventions seeking to address the low physical activity levels that characterize the young adult population. © 2016 Mary Ann Liebert, Inc.",27782766,"English",Article,Scopus,2-s2.0-85006355727
"Ørntoft C., Larsen M.N., Andersen T.B., Rasmussen L.S., Póvoas S.C.A., Randers M.B., Krustrup P.","Technical Actions, Heart Rate, and Locomotor Activity in 7v7 and 8v8 Games for Female Youth Soccer Players",2016,"Journal of Strength and Conditioning Research","30","12",,"3298","3303",,,10.1519/JSC.0000000000001434,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002723830&doi=10.1519%2fJSC.0000000000001434&partnerID=40&md5=a37d6ad904fac39d3d8318ab621c95d0","Ørntoft, C, Larsen, MN, Andersen, TB, Rasmussen, LS, Póvoas, SCA, Randers, MB, and Krustrup, P. Technical actions, heart rate, and locomotor activity in 7v7 and 8v8 games for female youth soccer players. J Strength Cond Res 30(12): 3298-3303, 2016-The purpose of this study was to evaluate technical performance, heart rate (HR), and activity profile in 7v7 and 8v8 soccer games for 9-to 10-year-old girls (U11). A total of 24 female youth players participated in the study, all playing 20-minute 7v7 and 8v8 games with 160 and 223 m 2 per player, respectively. Technical actions, HR, and activity profile were measured during the games using video filming, HR monitors, and 5-Hz Global positioning system (GPS) units. The number of technical actions was higher in 7v7 than in 8v8 games (34 ± 19 vs. 28 ± 14; p = 0.03; d = 0.37), as was the number of successful actions (25 ± 16 vs. 20 ± 12; p = 0.01; d = 0.35), with no difference in success rate for technical actions (70 ± 13 vs. 69 ± 14%; p = 0.63; d = 0.07). No differences were found between 7v7 and 8v8 in total distance covered (1,574 ± 251 and 1,622 ± 281 m; p = 0.66; d = 0.18), peak speed (19.5 ± 2.6 and 20.7 ± 1.5 km·h-1; p = 0.16; d = 0.56), mean HR values (85 ± 5 and 86 ± 6%HRpeak; p = 0.85; d = 0.18), and time of >90% HRpeak (37 ± 16 and 35 ± 14% of playing time; p = 0.70; d = 0.13). Distance covered at the highest running speeds of >16 km·h-1 was lower in 7v7 than in 8v8 games (34 ± 24 vs. 63 ± 34 m; p = 0.018; d = 0.98), as was the number of entries into this speed zone (8 ± 5 vs. 13 ± 7; p = 0.006; d = 0.82). In conclusion, more technical actions and successful actions were observed in 7v7 than in 8v8 games, but players covered more ground with high-speed running in 8v8 games. This study also revealed that HR values were high in both game formats for U11 adolescent female players, with no difference between formats. © 2016 National Strength and Conditioning Association.",27050242,"English",Article,Scopus,2-s2.0-85002723830
"Dal Molin Molinari A.R., Thomé C.A., Moura L.M., Kim S.H.","Thermal change in a resin block during motorized and manual implant placement",2016,"Journal of Prosthetic Dentistry","116","6",,"885","889",,,10.1016/j.prosdent.2016.04.021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979518949&doi=10.1016%2fj.prosdent.2016.04.021&partnerID=40&md5=d66af032bbec3d4046e8c46eed22b415","Statement of problem Several studies have demonstrated the harmful role of heat generation during implant site drilling in subsequent bone healing. However, heat generation during implant placement should also be carefully considered. Purpose The purpose of this in vitro study was to evaluate thermal change in a resin block during motorized and manual implant placement with and without saline irrigation. Material and methods Thermocouple probes were placed in resin blocks to measure the thermal change during forty 3.75x15-mm self-tapping cylindrical screw implant placements as follows: MtI group, 10 motorized implant placements with external saline irrigation; MtNI group, 10 motorized implant placements without irrigation; MI group, 10 manual implant placements with external saline irrigation; MNI group, 10 manual implant placements without irrigation. The temperature values were recorded with a data acquisition system with a 20-channel multiplexer module connected to a personal computer. The normality of data distribution was assessed with the Shapiro-Wilk test and the homogeneity of variances with the Levene test. The mean temperatures of the groups was assessed with the 3-way ANOVA test followed by the Tukey HSD test for normal distribution and the Games-Howell test for non-normal distribution (α=.05). Results The rate of temperature rise in the resin blocks was 1.1°C to 7.3°C. The highest mean temperature was present in the group for manual implant placement without irrigation (26.2 ±1.1°C), and the lowest thermal change was in the motorized implant placement group with external saline irrigation (23.6 ±1.0°C). Conclusions The thermal change in resin blocks during motorized implant placement was lower than manual implant placement, especially with external saline irrigation. © 2016 Editorial Council for the Journal of Prosthetic Dentistry",,"English",Article,Scopus,2-s2.0-84979518949
"Schättin A., de Bruin E.D.","Combining exergame training with omega-3 fatty acid supplementation: Protocol for a randomized controlled study assessing the effect on neuronal structure/function in the elderly brain",2016,"Frontiers in Aging Neuroscience","8","NOV", 283,"","",,,10.3389/fnagi.2016.00283,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006276829&doi=10.3389%2ffnagi.2016.00283&partnerID=40&md5=1f91a5f10ea671bd902f3f3a9e2ce5e7","A common problem in the older population is the risk of falling and related injury, immobility, and reduced survival. Age-related neuronal changes, e.g., decline in gray-and white-matter, affect neuronal, cognitive, and motor functioning. The improvement of these factors might decrease fall events in elderly. Studies showed that administration of video game-based physical exercise, a so-called exergame, or omega-3 fatty acid (FA) may improve motor and/or cognitive functioning through neuronal changes in the brain of older adults. The aim of this study is to assess the effects of a combination of exergame training with omega-3 FA supplementation on the elderly brain. We hypothesize that an intervention using a combination approach differently affects on the neuronal structure and function of the elderly's brain as compared to the sole administration of exergame training. The study is a parallel, double-blinded, randomized controlled trial lasting 26 weeks. Sixty autonomous living, non-smoking, and right-handed healthy older (>65 years) adults who live independently or in a senior residency are included, randomized, and allocated to one of two study groups. The experimental group receives a daily amount of 13.5 ml fish oil (including 2.9 g of omega-3 FA), whereas the control group receives a daily amount of 13.5 ml olive oil for 26 weeks. After 16 weeks, both groups start with an exergame training program three times per week. Measurements are performed on three time-points by treatment blinded investigators: pre-intervention measurements, blood sample after 16 week, and post-intervention measurements. The main outcomes are motor evoked potentials of the right M. tibialis anterior (transcranial magnetic stimulation) and response-related potentials (electroencephalography) during a cognitive test. For secondary outcomes, reaction time during cognitive tests and spatio-temporal parameters during gait performance are measured. Statistics will include effect sizes and a 2 × 2-ANOVA with normally distributed data or the non-parametric equivalent for data not fulfilling normal distribution. The randomized controlled study is the first to investigate the effectiveness of exergame training combined with omega-3 FA in counteracting age- and behavioral-dependent neuronal changes in the brain. This study has been registered in the Swiss National Clinical Trials (SNCTP34995201623) and the ISRCTN (ISRCTN12084831) Portals. © 2016 Schättin and de Bruin.",,"English",Article,Scopus,2-s2.0-85006276829
"Lopez-Samaniego L., Garcia-Zapirain B.","A robot-based tool for physical and cognitive rehabilitation of elderly people using biofeedback",2016,"International Journal of Environmental Research and Public Health","13","12", 1176,"","",,1,10.3390/ijerph13121176,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997181531&doi=10.3390%2fijerph13121176&partnerID=40&md5=327222950d8a85731241720bd363f31e","This publication presents a complete description of a technological solution system for the physical and cognitive rehabilitation of elderly people through a biofeedback system, which is combined with a Lego robot. The technology used was the iOS’s (iPhone Operating System) Objective-C programming language and its XCode programming environment; and SQLite in order to create the database. The biofeedback system is implemented by the use of two biosensors which are, in fact, a Microsoft band 2 in order to register the user’s heart rate and a MYO sensor to detect the user’s arm movement. Finally, the system was tested with seven elderly people from La Santa y Real Casa de la Misericordia nursing home in Bilbao. The statistical assessment has shown that the users are satisfied with the usability of the system, with a mean score of 79.29 on the System Usability Scale (SUS) questionnaire. © 2016 by the authors; licensee MDPI, Basel, Switzerland.",27886146,"English",Article,Scopus,2-s2.0-84997181531
"Dubbels B.R.","Gamification transformed: Gamification should deliver the best parts of game experiences, not just experiences of game parts",2016,"Transforming Gaming and Computer Simulation Technologies across Industries",,,,"17","47",,,10.4018/978-1-5225-1817-4.ch002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016354950&doi=10.4018%2f978-1-5225-1817-4.ch002&partnerID=40&md5=8b93ea4b95d76edff94cb72b211b629d","Gamification may provide new venues for offering customer experiences. The chapter compares threemodels of game play analyzed through user experience research. In section 1, the three models arepresented: Grind Core, Freemium, and Immersion. These models are differentiated as value delivered,and user experience. Value and experience are defined across four categories: function, emotion, lifechange and social impact. In section 2, the role of emotion, value, and experience are described to informhow games can be transformative, providing the life change and social impact through the immersionexperience model. This chapter is intended to help developers identify what kind of value experiencethey want to provide their customers, and provide a new view of gamification. © 2017 by IGI Global. All rights reserved.",,"English",Book Chapter,Scopus,2-s2.0-85016354950
"Milioni F., Vieira L.H.P., Barbieri R.A., Zagatto A.M., Nordsborg N.B., Barbieri F.A., dos-Santos J.W., Santiago R.R.P., Papoti M.","Futsal match-related fatigue affects running performance and neuromuscular parameters but not finishing kick speed or accuracy",2016,"Frontiers in Physiology","7","NOV", 518,"","",,,10.3389/fphys.2016.00518,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006515952&doi=10.3389%2ffphys.2016.00518&partnerID=40&md5=ca523a401bc1cc7dbfa116d1fa9e157b","Purpose: The aim of the present study was to investigate the influence of futsal match-related fatigue on running performance, neuromuscular variables, and finishing kick speed and accuracy. Methods: Ten professional futsal players participated in the study (age: 22.2 ± 2.5 years) and initially performed an incremental protocol to determine maximum oxygen uptake (V.O2max: 50.6 ± 4.9 mL.kg-1.min-1). Next, simulated games were performed, in four periods of 10 min during which heart rate and blood lactate concentration were monitored. The entire games were video recorded for subsequent automatic tracking. Before and immediately after the simulated game, neuromuscular function was measured by maximal isometric force of knee extension, voluntary activation using twitch interpolation technique, and electromyographic activity. Before, at half time, and immediately after the simulated game, the athletes also performed a set of finishing kicks for ball speed and accuracy measurements. Results: Total distance covered (1st half: 1986.6 ± 74.4 m; 2nd half: 1856.0 ± 129.7 m, P = 0.00) and distance covered per minute (1st half: 103.2 ± 4.4 m.min-1; 2nd half: 96.4 ± 7.5 m.min-1, P = 0.00) demonstrated significant declines during the simulated game, as well as maximal isometric force of knee extension (Before: 840.2 ± 66.2 N; After: 751.6 ± 114.3 N, P = 0.04) and voluntary activation (Before: 85.9 ± 7.5%; After: 74.1 ± 12.3%, P = 0.04), however ball speed and accuracy during the finishing kicks were not significantly affected. Conclusion: Therefore, we conclude that despite the decline in running performance and neuromuscular variables presenting an important manifestation of central fatigue, this condition apparently does not affect the speed and accuracy of finishing kicks. © 2016 Milioni, Vieira, Barbieri, Zagatto, Nordsborg, Barbieri, dos-Santos, Santiago and Papoti.",,"English",Article,Scopus,2-s2.0-85006515952
"Kim N., Hughes T.L., Park C.G., Quinn L., Kong I.D.","Altered Autonomic Functions and Distressed Personality Traits in Male Adolescents with Internet Gaming Addiction",2016,"Cyberpsychology, Behavior, and Social Networking","19","11",,"667","673",,1,10.1089/cyber.2016.0282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995503337&doi=10.1089%2fcyber.2016.0282&partnerID=40&md5=9c423993ae02049bef5cab23808db427","Internet gaming addiction (IGA) has been associated with many negative health outcomes, especially for youth; however, few studies have examined the physiological parameters and personality features related to this addiction. This study aimed to identify differences in autonomic functions and distressed (type D) personality traits among Korean adolescent males with and without IGA. In a cross-sectional study, 68 adolescent males were recruited in a Korean city using convenience and snowball sampling methods. For each subject, heart rate variability (HRV) parameters were measured as autonomic functions and questionnaires were used to identify IGA and type D personality traits. Data were analyzed using descriptive analyses, t tests, χ2 tests, and Pearson's correlation. Most HRV parameters significantly differed between the IGA and non-IGA groups (all p &lt; 0.05). Type D personality total and subscale scores, including those for negative affectivity (NA) and social inhibition, were significantly higher in the IGA group (all p &lt; 0.001). Of the 68 subjects, 46 were classified as having type D personality, with nearly twice as many in the IGA group as in the non-IGA group (p = 0.002). Type D personality total scores negatively correlated with the logarithmic value of total power and low frequency among the HRV parameters (both p &lt; 0.05). Results showed that excessive Internet gaming was related to alterations in autonomic functions and distressed personality traits in male adolescents. These findings provide further understanding of the IGA phenomenon and highlight the need for interventions that address male adolescents with IGA. © Copyright 2016, Mary Ann Liebert, Inc. 2016.",27831751,"English",Article,Scopus,2-s2.0-84995503337
"Millington B.","Video games and the political and cultural economies of health-entertainment",2016,"Leisure Studies","35","6",,"739","757",,1,10.1080/02614367.2014.986511,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916624087&doi=10.1080%2f02614367.2014.986511&partnerID=40&md5=09654ae24e7c2926fe4b58b9485e8d7b","Focusing mainly on the company Nintendo, this paper examines the political economic and cultural forces underpinning the video game industry’s recent interest in merging entertainment and health promotion. This is a trend best exemplified in sexagenarian actress Helen Mirren’s endorsement of Nintendo’s fitness-themed game Wii Fit Plus. In one sense, ‘health-entertainment’ is deemed a product of the coercive laws of competition that impress the need for reinvestment and innovation as a way of warding off industry rivals. Nintendo’s turn to health promotion is from this perspective an extension of the ‘console wars’ that in the past drove gaming companies to pursue verisimilitude on screen in hopes of attracting (young male) consumers. In another sense, the present moment offers an ideal time to direct innovation towards the issues of health and healthy ageing in particular, as the cultural logics of healthism and the ‘third age’ both emphasise the virtues of ‘healthy’ and autonomous consumer activity. As such, Nintendo has pursued aesthetic simplicity but kinaesthetic realism as a way of extending the appeal of video gaming beyond the male youth demographic. In examining the implications of these developments, it is argued that health and entertainment, as independent constructs, are conceptually reimagined through their integration with one another. The pursuit of entertainment is made ‘responsible’, thereby remedying the concern that video gaming is an unhealthy activity. The pursuit of health, meanwhile, becomes a matter of playful, technology-enhanced and ultimately consumption-based experience. © 2014 Informa UK Limited, trading as Taylor & Francis Group.",,"English",Article,Scopus,2-s2.0-84916624087
